date,quantity
201501,444
201502,232
201503,282
201504,408
201505,349
201506,312
201507,474
201508,340
201509,262
201510,264
201511,775
201512,1073
201601,72
201602,48
201603,468
201604,372
201605,198
201606,256
201607,174
201608,264
201609,208
201610,144
201611,204
201612,535
201701,300
201702,722
201703,252
201704,384
201705,542
201706,303
201707,276
201708,264
201709,377
201710,216
201711,392
201712,564
201801,432
201802,264
201803,459
201804,607
201805,1212
201806,756
201807,516
201808,936
201809,876
201810,1260
201811,1021
201812,1276
201901,1622
201902,1084
201903,1014
201904,1356
201905,1218
201906,912
201907,1237
201908,1440
201909,1170
201910,3348
201911,2574
201912,2211
202001,7268
202002,2448
