date,quantity
201501,5
201502,40
201503,30
201504,40
201505,5
201506,55
201507,40
201508,30
201509,80
201510,5
201511,30
201512,15
201601,25
201602,5
201603,55
201604,25
201605,15
201606,20
201607,15
201608,30
201609,70
201610,20
201611,30
201612,35
201701,40
201702,25
201705,10
201706,30
201707,20
201708,10
201709,120
201710,10
201712,30
201801,15
201802,15
201803,25
201804,15
201805,50
201806,25
201807,45
201808,15
201809,55
201810,10
201811,10
201812,10
201901,15
201902,5
201903,5
201904,50
201906,5
201907,5
201908,10
201909,30
201912,5
