date,quantity
201501,174
201502,174
201503,162
201504,162
201505,156
201506,78
201507,180
201508,114
201509,164
201510,78
201511,198
201512,876
201601,46
201602,82
201603,90
201604,84
201605,150
201606,144
201607,42
201608,216
201609,174
201610,192
201611,192
201612,342
201701,48
201702,216
201703,144
201704,234
201705,180
201706,216
201707,150
201708,162
201709,270
201710,54
201711,162
201712,228
201801,114
201802,156
201803,150
201804,139
201805,228
201806,198
201807,60
201808,82
201809,56
201810,102
201811,108
201812,150
201901,102
201902,6
201903,144
201904,78
201905,101
201906,42
201907,96
201908,180
201909,144
201910,162
201911,444
201912,168
202001,456
202002,144
