date,quantity
201601,1682
201602,1998
201603,3372
201604,3780
201605,4319
201606,4254
201607,4262
201608,4298
201609,4772
201610,4548
201611,5868
201612,8994
201701,3402
201702,4253
201703,4956
201704,4968
201705,5737
201706,6017
201707,5484
201708,5406
201709,6342
201710,4254
201711,6738
201712,11580
201801,4374
201802,3960
201803,4554
201804,6192
201805,7938
201806,6744
201807,7050
201808,5959
201809,6563
201810,7248
201811,9168
201812,11922
201901,6348
201902,5232
201903,6972
201904,8098
201905,7068
201906,10848
201907,7008
201908,6522
201909,6538
201910,8766
201911,15024
201912,7554
202001,14976
202002,5064
