date,quantity
201501,3486
201502,2487
201503,3636
201504,2700
201505,3171
201506,2475
201507,4336
201508,4977
201509,3776
201510,4543
201511,4611
201512,10490
201601,1512
201602,4941
201603,4649
201604,5724
201605,2772
201606,2886
201607,5403
201608,4590
201609,6562
201610,4318
201611,5020
201612,16387
201701,7374
201702,-648
201703,1423
201704,1608
201705,839
201706,1275
201707,1134
201708,1229
201709,2027
201710,1164
201711,1533
201712,2388
201801,2110
201802,1872
201803,1030
201804,1837
201805,2036
201806,1529
201807,1068
201808,1440
201809,1550
201810,1128
201811,1675
201812,2400
201901,2910
201902,1506
201903,1644
201904,2094
201905,2015
201906,1228
201907,1728
201908,1734
201909,2268
201910,2306
201911,2226
201912,2046
202001,6416
202002,1946
