date,quantity
201501,2466
201502,2771
201503,3966
201504,3804
201505,2997
201506,2490
201507,3582
201508,2538
201509,2196
201510,3462
201511,3126
201512,5060
201601,3228
201602,3555
201603,3333
201604,3954
201605,2622
201606,3648
201607,3666
201608,3468
201609,4703
201610,4373
201611,5196
201612,6684
201701,5856
201702,5220
201703,5034
201704,3774
201705,5064
201706,4265
201707,4388
201708,5412
201709,5525
201710,5142
201711,7452
201712,12994
201801,4065
201802,5340
201803,7872
201804,6384
201805,9948
201806,7118
201807,7154
201808,7668
201809,7314
201810,6259
201811,8196
201812,9648
201901,9396
201902,7986
201903,7728
201904,8706
201905,8514
201906,7704
201907,8388
201908,9492
201909,8892
201910,9612
201911,11202
201912,9210
202001,40296
202002,20090
