date,quantity
201601,2568
201602,2424
201603,5142
201604,6306
201605,7506
201606,7230
201607,7566
201608,7926
201609,8342
201610,7716
201611,10788
201612,15450
201701,5412
201702,6204
201703,8796
201704,8844
201705,10188
201706,8772
201707,7752
201708,7476
201709,11220
201710,6564
201711,11600
201712,20562
201801,4824
201802,5142
201803,7422
201804,9540
201805,11700
201806,10380
201807,8262
201808,9269
201809,9277
201810,11032
201811,16500
201812,16734
201901,6830
201902,5994
201903,8028
201904,12144
201905,9366
201906,13584
201907,7548
201908,7884
201909,8130
201910,10812
201911,21174
201912,10416
202001,16044
202002,6204
