date,quantity
201501,36
201504,12
201505,12
201506,24
201508,24
201509,12
201510,12
201511,13
201512,24
201601,12
201603,24
201605,24
201606,12
201608,36
201609,36
201610,12
201611,48
201612,400
201701,24
201702,24
201703,72
201704,192
201705,12
201706,60
201708,12
201709,96
201710,24
201711,12
201712,24
201802,36
201803,32
201805,24
201806,-156
201807,24
201808,24
201809,24
201811,53
201901,1200
201902,315
201903,276
201904,300
201905,288
201906,180
201907,312
201908,324
201909,240
201910,396
201911,360
201912,372
202001,216
202002,456
