date,quantity
201501,607
201502,904
201503,625
201504,768
201505,377
201506,575
201507,295
201508,637
201509,910
201510,739
201511,491
201512,1305
201601,419
201602,1020
201603,424
201604,456
201605,924
201606,501
201607,220
201608,791
201609,835
201610,657
201611,853
201612,1871
201701,168
201702,488
201703,519
201704,669
201705,911
201706,1053
201707,864
201708,573
201709,935
201710,689
201711,973
201712,2029
201801,458
201802,1057
201803,958
201804,969
201805,1632
201806,976
201807,1034
201808,1054
201809,1579
201810,1212
201811,1298
201812,1427
201901,2291
201902,1371
201903,1411
201904,1867
201905,1518
201906,1112
201907,1602
201908,1769
201909,1737
201910,3317
201911,2232
201912,2094
202001,11472
202002,3408
