date,quantity
201502,18
201504,24
201505,42
201506,54
201507,270
201508,714
201509,54
201511,6
201512,582
201601,12
201603,6
201604,42
201605,6
201606,12
201607,6
201608,828
201609,30
201610,12
201611,30
201612,582
201702,12
201703,42
201704,582
201705,12
201707,6
201708,582
201709,24
201710,744
201711,132
201712,42
201801,54
201802,12
201803,738
201804,24
201805,180
201806,42
201807,54
201808,42
201809,72
201810,66
201811,30
201812,24
201901,300
201903,6
201904,1380
201905,216
201906,66
201907,78
201908,42
201909,78
201910,810
201911,126
201912,108
202001,240
202002,300
