date,quantity
201501,240
201502,216
201503,288
201504,312
201505,216
201506,252
201507,48
201508,564
201509,132
201510,252
201511,252
201512,1392
201601,360
201602,120
201603,134
201604,132
201605,600
201606,180
201607,324
201608,72
201609,132
201610,216
201611,435
201612,732
201701,72
201702,132
201703,49
201704,252
201705,240
201706,180
201707,108
201708,312
201709,312
201710,72
201711,168
201712,582
201801,192
201802,108
201803,144
201804,24
201805,132
201806,144
201807,12
201808,204
201809,156
201810,240
201811,432
201812,84
201901,204
201902,72
201903,84
201904,48
201905,372
201906,300
201907,78
201908,48
201909,252
201910,48
201911,612
201912,96
202001,120
202002,180
