date,quantity
201701,40
201702,10
201705,5
201709,23
201711,15
201712,10
201801,29
201802,66
201809,7
201901,3
201902,10
201904,13
201907,5
201908,2
201909,46
201910,10
201911,35
201912,20
202001,26
