date,quantity
201501,18
201502,94
201503,39
201504,25
201505,43
201506,64
201507,37
201508,44
201509,118
201510,41
201511,50
201512,136
201601,66
201602,67
201603,183
201604,99
201605,111
201606,35
201607,72
201608,61
201609,115
201610,71
201611,75
201612,82
201701,64
201702,35
201703,79
201704,41
201705,55
201706,44
201707,69
201708,43
201709,87
201710,28
201711,76
201712,58
201801,97
201802,70
201803,54
201804,43
201805,67
201806,30
201807,14
201808,73
201809,96
201810,44
201811,54
201812,45
201901,83
201902,71
201903,78
201904,51
201905,77
201906,82
201907,83
201908,42
201909,71
201910,75
201911,66
201912,67
202001,294
202002,30
