date,quantity
201504,21222
201505,8688
201506,9108
201507,7488
201508,11082
201509,534
201510,1050
201511,282
201603,13434
201604,8226
201605,7464
201606,6912
201607,7062
201608,16422
201609,11142
201611,1188
201703,11478
201704,16482
201705,15744
201706,8892
201707,7596
201708,9402
201709,5262
201710,3276
201711,5610
201712,3456
201803,8754
201804,21540
201805,10164
201806,11466
201807,4392
201808,7008
201809,5946
201810,2964
201811,582
201812,1032
201903,12198
201904,5958
201905,11514
201906,12546
201907,13680
201908,4914
201909,3918
201910,10098
201911,5112
