date,quantity
201501,66
201502,66
201503,60
201504,54
201505,72
201506,66
201507,36
201508,42
201509,59
201510,42
201511,138
201512,150
201601,12
201602,78
201603,42
201604,36
201605,48
201606,0
201607,18
201608,30
201609,30
201610,21
201611,28
201612,96
201701,24
201702,31
201703,66
201704,54
201705,66
201706,30
201707,48
201708,30
201709,114
201710,66
201711,114
201712,48
201801,48
201802,66
201803,30
201804,84
201805,78
201806,61
201807,24
201808,14
201809,64
201810,150
201811,234
201812,180
201901,54
201902,114
201903,228
201904,96
201905,132
201906,138
201907,120
201908,162
201909,156
201910,150
201911,448
201912,42
202001,312
202002,84
