date,quantity
201501,5121
201502,3894
201503,5502
201504,5526
201505,5574
201506,4530
201507,4770
201508,4710
201509,4397
201510,5372
201511,5863
201512,19378
201601,1410
201602,2118
201603,3618
201604,3510
201605,4836
201606,4608
201607,4731
201608,5160
201609,4734
201610,4320
201611,6786
201612,11256
201701,2886
201702,2894
201703,4278
201704,4290
201705,5082
201706,6348
201707,4974
201708,5262
201709,5172
201710,4044
201711,6390
201712,14514
201801,2999
201802,2244
201803,3798
201804,4416
201805,6774
201806,7110
201807,4992
201808,6215
201809,5869
201810,6612
201811,8388
201812,12702
201901,3612
201902,3966
201903,4050
201904,6504
201905,6402
201906,20292
201907,4176
201908,6498
201909,7218
201910,8064
201911,13158
201912,7974
202001,15060
202002,7281
