date,quantity
201510,4
201601,552
201603,552
201608,30
201610,12
201611,24
201612,30
201701,48
201702,24
201703,42
201704,30
201705,42
201706,34
201707,18
201708,17
201709,54
201710,114
201711,18
201712,18
201802,47
201803,48
201804,54
201805,60
201806,60
201807,6
201808,54
201809,366
201810,384
201811,12
201812,12
201901,18
201902,24
201903,30
201904,96
201905,120
201906,18
201907,60
201908,42
201909,138
201910,222
201911,108
201912,108
202002,48
