title,grade,genre,people
김관장 대 김관장 대 김관장,4.56,"코미디, 액션",925661
김복남 살인 사건의 전말,8.74,스릴러,161722
김씨 표류기,8.73,드라마,725031
김종욱 찾기,8.28,"멜로/로맨스, 코미디",1122225
까불지마,7.1,"코미디, 액션",155308
깡패수업,7.24,"범죄, 액션, 코미디","176,757"
꽃순이를 아시나요,0,드라마,"216,628"
꽃잎,7.66,드라마,"213,979"
꾼,8.32,범죄,4018341
꿈의 제인,8.87,드라마,25110
끝까지 간다,8.83,"범죄, 액션",3450381
나가요 미스콜,3.03,"멜로/로맨스, 코미디",338
나는 77번 아가씨,0,"멜로/로맨스, 드라마","217,249"
나는 고양이로소이다,9.34,다큐멘터리,8496
나는 왕이로소이다,7.42,"드라마, 코미디",790181
나를 잊지 말아요,6.72,멜로/로맨스,427113
나의 독재자,7.37,드라마,386074
나의 사랑 나의 신부(1990),8.09,"멜로/로맨스, 코미디","187,116"
나의 사랑 나의 신부(2014),8.39,"멜로/로맨스, 코미디",2141155
나의 절친 악당들,5.48,"액션, 범죄, 드라마",133555
나의 PS 파트너,8.24,"멜로/로맨스, 코미디",1831741
나쁜남자,3.35,드라마,"298,926"
나쁜 녀석들: 더 무비,8.16,"범죄, 액션",4573903
나쁜놈은 죽는다,6.73,"액션, 코미디",14951
나쁜 피,6.68,범죄,1341
나탈리,4.75,멜로/로맨스,94875
나랏말싸미,6.75,드라마,958775
낙동강은 흐르는가,0,1976.10.23. 개봉,493
남과 여,7.56,멜로/로맨스,203729
남극일기,5.5,"미스터리, 공포",871235
남부군,7.25,"전쟁, 드라마","324,169"
남영동1985,7.23,드라마,332643
남자가 사랑할 때,8.48,드라마,1980120
남자사용설명서,6.97,"멜로/로맨스, 코미디",507913
남쪽으로 튀어,7.81,"드라마, 코미디",832894
남한산성,8.17,드라마,3849129
너는 내 운명,9.07,"멜로/로맨스, 드라마",2701974
넘버 3,8.46,"코미디, 범죄, 액션","297,617"
내가 버린 남자,0,드라마,"239,718"
내가 살인범이다,8.48,"액션, 스릴러",2729830
내 깡패 같은 애인,9.06,"코미디, 드라마",688639
내 마음의 풍금,8.91,"드라마, 멜로/로맨스","148,494"
내 머리속의 지우개,9.09,"멜로/로맨스, 코미디",1887868
내부자들,9.06,"범죄, 드라마",7073581
내사랑 내곁에,7.03,드라마,2135509
내 아내의 모든것,8.57,"멜로/로맨스, 코미디",4598985
내 여자친구를 소개합니다,6.33,멜로/로맨스,1298666
내 연애의 기억,6.58,"멜로/로맨스, 코미디",46775
내 친구 정일우,9.59,다큐멘터리,12245
노무현입니다,9.49,다큐멘터리,1855515
노브레싱,7.58,드라마,451669
노후 대책 없다,8.29,다큐멘터리,1788
녹색의자,5.72,"멜로/로맨스, 드라마",366
누구나 비밀은 있다,5.86,"멜로/로맨스, 코미디",542955
눈에는 눈 이에는 이,7.89,"범죄, 액션, 스릴러",2058616
늑대소년,8.65,"멜로/로맨스, 드라마",7069353
늑대의 유혹,7.69,"멜로/로맨스, 드라마",1297296
"님아, 그 강을 건너지 마오",9.16,다큐멘터리,4802416
님은 먼 곳에,7.83,"전쟁, 드라마, 모험",1706495
다세포 소녀,2.22,"코미디, 멜로/로맨스",476732
다찌마와 리,0,"코미디, 액션","628,508"
다이빙벨,9.57,다큐멘터리,50310
닥터 봉,6.8,"코미디, 멜로/로맨스","376,443"
"당신, 거기 있어줄래요",8.8,"판타지, 드라마",1168782
달마야 놀자,8.37,"코미디, 액션","1,253,075"
달마야 서울가자,5.09,코미디,703507
달콤한 인생,8.56,"느와르, 액션, 드라마",1112950
당신의 부탁,8.49,"드라마, 가족",25920
대립군,7.59,드라마,837500
대배우,7.12,코미디,169983
대한민국 헌법 제1조,7.14,코미디,"301,595"
대호,8.21,드라마,1762733
댄싱퀸,8.87,"코미디, 드라마",4058225
더 게임,7.41,스릴러,1479859
더 킥,6.94,액션,51024
더 킹,8.39,"범죄, 드라마",5318007
더 테러 라이브,8.28,"스릴러, 드라마",5584295
더 폰,8.05,"액션, 스릴러",1596762
덕혜옹주,8.72,"서사, 드라마",5599995
도가니,9.27,드라마,4662926
도리화가,7.29,드라마,317505
도마 안중근,4.14,드라마,20318
도둑들,7.62,"범죄, 액션, 드라마",12984692
도레미파솔라시도,6.64,드라마,197672
도마뱀,7.08,"멜로/로맨스, 드라마",364848
도희야,7.27,드라마,106781
독전,8.41,"범죄, 액션",5201715
돈을 갖고 튀어라,7.56,"코미디, 멜로/로맨스","167,108"
돈 크라이 마미,6.44,"스릴러, 드라마",975462
돈의 맛,6.79,드라마,1166025
돌아와요 부산항애,6.11,"범죄, 액션, 드라마",6954
돌려차기,7.23,"코미디, 액션",41401
돌멩이의 꿈,7.05,드라마,515
돌연변이,7.43,"드라마, 코미디",100543
동감,9,"멜로/로맨스, 판타지","346,279"
동갑내기 과외하기,7.82,코미디,"4,937,573"
동갑내기 과외하기2,6.44,코미디,514669
동네사람들,7.13,"액션, 스릴러",461693
동주,9.18,드라마,1176468
동창생,7.31,"액션, 드라마",1048280
된장,7.38,미스터리,45180
두근두근 내 인생,7.51,드라마,1624573
두만강,7.87,"드라마, 전쟁",2542
두사부일체,7.44,"코미디, 액션","1,228,142"
디 워,7.54,"판타지, 액션",7855474
또 하나의 약속,9.25,드라마,497994
똥개,7.81,드라마,"1,394,000"
똥파리,9,드라마,123029
뚫어야 산다,2.96,"범죄, 코미디, 액션","20,283"
라디오 스타,9.2,"코미디, 드라마",1590774
라라,8,"멜로/로맨스, 드라마",1860
