title,grade,genre,people
임금님의 사건수첩,8.05,"코미디, 모험, 액션",1635003
일대일,6.76,드라마,10142
일진,4.73,액션,224
자녀목,7.36,드라마,"27,761"
자백,9.6,다큐멘터리,144372
자카르타,7,"범죄, 드라마, 코미디","299,824"
자칼이 온다,6.3,"코미디, 드라마",210278
작전,8.61,"범죄, 스릴러, 코미디",1517096
잘 살아보세,5.52,"코미디, 드라마",236799
잘 알지도 못하면서,7.8,드라마,39984
잠복근무,7.52,"코미디, 액션",1533225
장군의 아들,8.69,"액션, 드라마","678,946"
"장화, 홍련",10,"공포, 스릴러","3,146,217"
재밌는 영화,6.66,코미디,"376,085"
재심,8.7,드라마,2421197
적도의 꽃,7.09,"드라마, 멜로/로맨스","155,042"
전국 노래자랑,8,코미디,978413
전설의 고향,4.52,공포,352518
전설의 주먹,7.57,"액션, 드라마",1744585
전우치,8.19,"액션, 코미디, 모험",6065474
접속,9,"멜로/로맨스, 드라마","674,933"
젓가락,3.7,코미디,480
정글쥬스,6.34,"코미디, 모험","286,270"
"제니, 주노",3.62,"코미디, 드라마",216516
제보자,8.31,드라마,1755181
제5의 사나이,6.07,드라마,"32,201"
젝스키스 에이틴,9.04,다큐멘터리,50419
조선마술사,6.87,드라마,627586
조선명탐정: 각시투구꽃의 비밀,8.12,"코미디, 미스터리",4786259
조선명탐정: 사라진 놉의 딸,8.07,"코미디, 모험",3872015
조선명탐정: 흡혈괴마의 비밀,7.52,"모험, 코미디",2444145
조선미녀삼총사,5.65,"코미디, 액션, 드라마",480361
조용한 가족,7.95,"코미디, 스릴러, 범죄","343,946"
조작된 도시,8.56,"액션, 범죄",2515590
조폭 마누라,6.29,"코미디, 액션","1,419,972"
족보,8.2,드라마,403
족구왕,8.96,"드라마, 코미디",47580
"좋은 놈, 나쁜 놈, 이상한 놈",7.74,"액션, 코미디, 모험",6686075
주먹이 운다,8.9,"드라마, 액션",1462972
주유소 습격사건,8.3,"코미디, 범죄, 액션","2,310,000"
주홍글씨,5.45,"스릴러, 멜로/로맨스",1030623
죽거나 혹은 나쁘거나,8.5,"드라마, 액션","60,978"
죽여주는 여자,8.44,드라마,121452
죽음보다 깊은 잠,8.11,"드라마, 멜로/로맨스","248,603"
중독노래방,7.3,"미스터리, 판타지",8916
중천,5.61,"판타지, 액션, 드라마",1421412
즐거운 인생,9.14,코미디,1202719
증발(영화),7.5,"범죄, 미스터리","22,953"
지구를 지켜라,8.86,"SF, 스릴러","73,132"
지금은맞고그때는틀리다,8.43,드라마,80734
지금 만나러 갑니다,8.98,멜로/로맨스,2602273
지슬: 끝나지 않은 세월 2,9.2,드라마,145398
직지코드,8.57,다큐멘터리,10639
진아의 벌레먹은 장미,9,1982.10.09. 개봉,"52,760"
집으로...,10,"드라마, 가족","1,576,943"
집으로 가는 길,8.82,드라마,1854711
집행자,7.5,드라마,393019
짝패,7.93,액션,1021638
짱,7.42,"드라마, 코미디","51,247"
찌라시: 위험한 소문,7.55,"드라마, 범죄",1221420
찍히면 죽는다,4.04,"공포, 스릴러","30,130"
차우,7.58,"모험, 스릴러, 공포",1778843
차이나 타운,7.58,"범죄, 드라마",1472147
차형사,7.45,코미디,1346754
창공으로,6.9,드라마,25
챔피언(영화),7.47,드라마,1128784
챔피언 마빡이,7.2,"코미디, 가족",6825
천국의 우편배달부,8.61,"판타지, 멜로/로맨스",95060
천군,7.24,"SF, 코미디, 액션",933147
천안함 프로젝트,4.35,다큐멘터리,21321
천하장사 마돈나,8.13,"코미디, 드라마",575381
철암계곡의 혈투,6.06,액션,1002
청년경찰,9.03,액션,5653444
청담보살,6.03,코미디,1308810
청연,7.59,드라마,496061
체포왕,7.72,코미디,870887
초능력자,6.69,"SF, 스릴러, 액션",2130645
초록물고기,8.81,"드라마, 느와르","163,655"
초인,8.44,멜로/로맨스,6811
최강 로맨스,7.11,"코미디, 멜로/로맨스",1190703
최악의 하루,8.48,멜로/로맨스,81304
최종병기 활,7.87,"액션, 전쟁",7482180
최후의 증인,8.87,"전쟁, 미스터리","7,424"
추격자,9.09,"범죄, 스릴러, 액션",5046096
춘몽,8.52,가족,14736
춘향뎐,7.16,"드라마, 멜로/로맨스","110,358"
출국,9.32,드라마,81880
치외법권,7.21,액션,346483
친구,6.21,"느와르, 액션",2971475
친구2,6.21,"느와르, 액션",2971475
친절한 금자씨,7.47,"스릴러, 드라마",3122056
카운트 다운,7.38,"액션, 드라마",471547
카트,8.61,드라마,814676
카페 느와르,5.53,"드라마, 멜로/로맨스",7532
코리아,8.55,드라마,1872682
쿼바디스,9.06,드라마,"20,731"
퀵,7.86,액션,3125069
크로싱,9.02,드라마,898000
클래식,9.79,"멜로/로맨스, 드라마","1,545,107"
클레멘타인,9.35,"액션, 드라마",3562
키다리 아저씨,7.36,"드라마, 멜로/로맨스",440850
킬리만자로,8.07,"드라마, 범죄, 액션","95,541"
킬러들의 수다,8.28,"액션, 드라마, 코미디","871,125"
킹콩을 들다,9.23,드라마,1262858
타워,8.03,드라마,5181228
타짜,6.81,"범죄, 드라마",2229281
타짜: 신의 손,7.76,드라마,4015364
타짜: 원 아이드 잭,6.81,"범죄, 드라마",2229281
타투,4.3,스릴러,12103
탐정: 더 비기닝,8.62,"코미디, 범죄",2625686
탐정: 리턴즈,8.99,"코미디, 범죄",3152895
탐정 홍길동: 사라진 마을,8.24,"드라마, 액션",1430960
터널,8.63,드라마,7120780
터널 3D,5.93,"공포, 스릴러",81008
태,6.83,1986.03.22. 개봉,"18,721"
태극기 휘날리며,9.19,"전쟁, 드라마, 액션",11746135
태백산맥,7.66,"전쟁, 드라마","227,813"
태풍,6.11,", ",3471150
택시운전사,9.28,"드라마, 가족",12189654
톱스타,7.38,드라마,175153
퇴마록,2.99,"미스터리, 액션","419,201"
투 가이즈,7.8,코미디,568230
투명인간,7.29,"드라마, 공포, SF",969
투캅스,7.86,"코미디, 범죄","860,433"
투혼,7.93,드라마,210970
튜브,8,액션,"467,570"
트럭,6.91,"스릴러, 범죄",550195
트릭,6.4,"드라마, 서스펜스",38129
트윈스터즈,9.15,"다큐멘터리, 가족",15153
특별수사: 사형수의 편지,8.54,"범죄, 드라마",1243065
특별시민,7.74,드라마,1362634
특종: 량첸살인기,7.97,스릴러,616608
티끌모아 로맨스,7.52,"멜로/로맨스, 코미디",424002
타클라마칸,6.72,범죄,840
파괴된 사나이(영화),7.71,"스릴러, 드라마",1012310
파란나비효과,9.5,다큐멘터리,5259
파송송 계란탁,7.3,"코미디, 드라마",1003026
파수꾼(영화),9.5,드라마,26020
파울볼,9.34,다큐멘터리,31137
파이란,9.07,"멜로/로맨스, 드라마","222,711"
파파로티,8.28,드라마,1716438
파업전야,9,드라마,40
판도라,8.78,"드라마, 스릴러",4585116
패션왕,6.79,"드라마, 코미디",594876
퍼펙트 게임,8.94,드라마,1507084
페이스메이커,8.83,드라마,467697
편지,8.42,"드라마, 멜로/로맨스","724,747"
평양성,7.77,"코미디, 전쟁",1717566
평화의 시대,4.85,"판타지, SF, 가족","23,824"
포화속으로,8.23,"전쟁, 드라마",3330326
폭력의 씨앗,8.55,드라마,1905
폭력써클,7.17,"액션, 드라마",24682
폭풍전야,6.74,멜로/로맨스,51760
표적,8.07,"액션, 드라마",2841884
푸른소금,7.07,드라마,771699
품행제로,8.4,"코미디, 멜로/로맨스","1,694,637"
프리즌,8.25,"범죄, 액션",2931897
플란다스의 개,8.25,"드라마, 코미디","57,469"
플랜맨,8.67,코미디,635744
피끓는 청춘,7.53,"코미디, 멜로/로맨스",1676040
피도 눈물도 없이,7.91,"드라마, 액션, 느와르","225,038"
피아골,7.1,"전쟁, 드라마",734
하루,7.69,스릴러,1129609
하류인생,7.1,드라마,224856
하면 된다,7.65,코미디,"126,368"
하모니,9.05,드라마,3018154
하울링,6.77,"범죄, 드라마",1612554
하이힐,7.75,"느와르, 액션",343487
하피,2.91,"공포, 코미디","26,591"
하하하,8.63,"드라마, 코미디",57035
한공주,8.57,드라마,225839
한반도,6.36,"드라마, 액션, 스릴러",3331593
할렐루야,8.32,코미디,"310,920"
함정,6.59,"스릴러, 범죄",257996
해가 서쪽에서 뜬다면,8.6,"드라마, 멜로/로맨스","145,752"
해무,7.25,드라마,1475091
해바라기,9.22,"액션, 드라마",1305024
해빙,6.63,스릴러,1204623
해안선,6.88,드라마,"123,633"
해어화,8.23,드라마,485695
해운대,7.46,"모험, 드라마",11324958
해적: 바다로 간 산적,8.51,"모험, 액션",8666208
해피 엔드,8.25,스릴러,"730,000"
핸드폰,7.25,스릴러,622486
행복,7.88,"드라마, 멜로/로맨스",1174495
행복은 성적순이 아니잖아요,8.61,드라마,"155,321"
허삼관,7.61,드라마,956103
허풍,5.45,"코미디, 판타지",656
헬로우 고스트,8.87,코미디,3019960
헬머니,7.52,코미디,523871
혈의 누,7.93,"범죄, 스릴러",1926681
"협녀, 칼의 기억",6.01,액션,431310
협상,8.16,범죄,1967149
형,8.92,"코미디, 드라마",2982514
형사 DUELIST,8.5,"액션, 느와르",922680
호로비츠를 위하여,9.1,드라마,462623
혼숨,6.25,공포,288016
홀리데이,8.67,"범죄, 드라마",1257399
화려한 휴가,7.5,드라마,6855433
화산고,7.04,"액션, 코미디, 판타지","586,576"
화이: 괴물을 삼킨 아이,7.83,"액션, 스릴러",2394487
화차,9,미스터리,2436884
환절기,8.6,드라마,6605
황산벌,7.54,"코미디, 전쟁","2,771,236"
황제를 위하여,6.24,"액션, 느와르",591502
황진이,5.32,드라마,1191810
황해,7.89,"범죄, 스릴러",2260512
회사원,6.5,"액션, 드라마",1110523
효자동 이발사,7.49,"드라마, 코미디",748380
후궁: 제왕의 첩,6.89,"멜로/로맨스, 드라마",2636385
후아유,8.72,멜로/로맨스,"91,788"
희생부활자,6.62,"미스터리, 스릴러",323628
히말라야,8.67,드라마,7759711
히어로,6.16,"드라마, 코미디",23841
B급 며느리,9.03,다큐멘터리,20085
B형 남자친구,4.88,"멜로/로맨스, 코미디",1174581
GP506,7.04,미스터리,936945
H,6.65,"미스터리, 스릴러","90,000"
M,5.95,"미스터리, 멜로/로맨스",428717
O양의 아파트,10,드라마,"281,726"
R2B: 리턴 투 베이스,7.5,"액션, 드라마",1201944
S 다이어리,5.42,코미디,1098583
YMCA 야구단,7.16,"코미디, 드라마","560,000"
