title,grade,genre,people,genre2
그것만이 내 세상,9.17,"코미디, 드라마",3420199,코미디
그날의 분위기,7.86,"멜로/로맨스, 코미디",653226,로맨틱코미디
그녀를 믿지 마세요,8.85,"코미디, 멜로/로맨스",298221,로맨틱코미디
그놈 목소리,7.46,"드라마, 미스터리",2972299,미스터리
그놈이다,7.53,스릴러,1046313,스릴러
그대를 사랑합니다,9.33,드라마,1649407,드라마
그대 안의 블루,8.21,멜로/로맨스,"153,184",멜로/로맨스
그때 그 사람들,7.46,"미스터리, 코미디",890602,미스터리
그럼에도 불구하고,8.85,다큐멘터리,1607,다큐멘터리
그림자 살인,7.34,스릴러,1892467,스릴러
그물,8.37,드라마,56553,드라마
그해 여름,8.83,"멜로/로맨스, 드라마",290564,멜로/로맨스
극락도 살인사건,6.93,"미스터리, 스릴러",2079989,스릴러
극비수사,8.35,"드라마, 범죄",2860786,범죄
극한직업,9.2,코미디,16266240,코미디
글러브,8.84,드라마,1887733,드라마
글로리데이,8.55,드라마,189442,드라마
기담,7.48,공포,644111,공포
기방도령,7.07,코미디,287053,코미디
기술자들,7.91,"범죄, 액션",2564340,범죄
기생충,9.07,드라마,10307053,드라마
기억의 밤,8.41,"미스터리, 스릴러",1387779,스릴러
긴급조치 19호,4.62,코미디,"40,960",코미디
김관장 대 김관장 대 김관장,4.56,"코미디, 액션",925661,코미디
김복남 살인 사건의 전말,8.74,스릴러,161722,스릴러
김씨 표류기,8.73,드라마,725031,드라마
김종욱 찾기,8.28,"멜로/로맨스, 코미디",1122225,로맨틱코미디
까불지마,7.1,"코미디, 액션",155308,코미디
깡패수업,7.24,"범죄, 액션, 코미디","176,757",범죄
꽃순이를 아시나요,0,드라마,"216,628",드라마
꽃잎,7.66,드라마,"213,979",드라마
꾼,8.32,범죄,4018341,범죄
꿈의 제인,8.87,드라마,25110,드라마
끝까지 간다,8.83,"범죄, 액션",3450381,범죄
나가요 미스콜,3.03,"멜로/로맨스, 코미디",338,로맨틱코미디
나는 77번 아가씨,0,"멜로/로맨스, 드라마","217,249",멜로/로맨스
나는 고양이로소이다,9.34,다큐멘터리,8496,다큐멘터리
나는 왕이로소이다,7.42,"드라마, 코미디",790181,코미디
나를 잊지 말아요,6.72,멜로/로맨스,427113,멜로/로맨스
나의 독재자,7.37,드라마,386074,드라마
나의 사랑 나의 신부(1990),8.09,"멜로/로맨스, 코미디","187,116",로맨틱코미디
나의 사랑 나의 신부(2014),8.39,"멜로/로맨스, 코미디",2141155,로맨틱코미디
나의 절친 악당들,5.48,"액션, 범죄, 드라마",133555,액션
나의 PS 파트너,8.24,"멜로/로맨스, 코미디",1831741,로맨틱코미디
나쁜남자,3.35,드라마,"298,926",드라마
나쁜 녀석들: 더 무비,8.16,"범죄, 액션",4573903,범죄
나쁜놈은 죽는다,6.73,"액션, 코미디",14951,액션
나쁜 피,6.68,범죄,1341,범죄
나탈리,4.75,멜로/로맨스,94875,멜로/로맨스
나랏말싸미,6.75,드라마,958775,드라마
남과 여,7.56,멜로/로맨스,203729,멜로/로맨스
남극일기,5.5,"미스터리, 공포",871235,미스터리
남부군,7.25,"전쟁, 드라마","324,169",전쟁
남영동1985,7.23,드라마,332643,드라마
남자가 사랑할 때,8.48,드라마,1980120,드라마
남자사용설명서,6.97,"멜로/로맨스, 코미디",507913,로맨틱코미디
남쪽으로 튀어,7.81,"드라마, 코미디",832894,코미디
남한산성,8.17,드라마,3849129,드라마
너는 내 운명,9.07,"멜로/로맨스, 드라마",2701974,멜로/로맨스
넘버 3,8.46,"코미디, 범죄, 액션","297,617",코미디
내가 버린 남자,0,드라마,"239,718",드라마
내가 살인범이다,8.48,"액션, 스릴러",2729830,스릴러
내 깡패 같은 애인,9.06,"코미디, 드라마",688639,코미디
내 마음의 풍금,8.91,"드라마, 멜로/로맨스","148,494",멜로/로맨스
내 머리속의 지우개,9.09,"멜로/로맨스, 코미디",1887868,로맨틱코미디
내부자들,9.06,"범죄, 드라마",7073581,범죄
내사랑 내곁에,7.03,드라마,2135509,드라마
내 아내의 모든것,8.57,"멜로/로맨스, 코미디",4598985,로맨틱코미디
내 여자친구를 소개합니다,6.33,멜로/로맨스,1298666,멜로/로맨스
내 연애의 기억,6.58,"멜로/로맨스, 코미디",46775,로맨틱코미디
내 친구 정일우,9.59,다큐멘터리,12245,다큐멘터리
노무현입니다,9.49,다큐멘터리,1855515,다큐멘터리
노브레싱,7.58,드라마,451669,드라마
노후 대책 없다,8.29,다큐멘터리,1788,다큐멘터리
녹색의자,5.72,"멜로/로맨스, 드라마",366,멜로/로맨스
누구나 비밀은 있다,5.86,"멜로/로맨스, 코미디",542955,로맨틱코미디
눈에는 눈 이에는 이,7.89,"범죄, 액션, 스릴러",2058616,범죄
늑대소년,8.65,"멜로/로맨스, 드라마",7069353,멜로/로맨스
늑대의 유혹,7.69,"멜로/로맨스, 드라마",1297296,멜로/로맨스
"님아, 그 강을 건너지 마오",9.16,다큐멘터리,4802416,다큐멘터리
님은 먼 곳에,7.83,"전쟁, 드라마, 모험",1706495,전쟁
다세포 소녀,2.22,"코미디, 멜로/로맨스",476732,로맨틱코미디
다찌마와 리,0,"코미디, 액션","628,508",코미디
다이빙벨,9.57,다큐멘터리,50310,다큐멘터리
닥터 봉,6.8,"코미디, 멜로/로맨스","376,443",로맨틱코미디
"당신, 거기 있어줄래요",8.8,"판타지, 드라마",1168782,판타지
달마야 놀자,8.37,"코미디, 액션","1,253,075",코미디
달마야 서울가자,5.09,코미디,703507,코미디
달콤한 인생,8.56,"느와르, 액션, 드라마",1112950,느와르
당신의 부탁,8.49,"드라마, 가족",25920,드라마
대립군,7.59,드라마,837500,드라마
대배우,7.12,코미디,169983,코미디
대한민국 헌법 제1조,7.14,코미디,"301,595",코미디
대호,8.21,드라마,1762733,드라마
댄싱퀸,8.87,"코미디, 드라마",4058225,코미디
더 게임,7.41,스릴러,1479859,스릴러
더 킥,6.94,액션,51024,액션
더 킹,8.39,"범죄, 드라마",5318007,범죄
더 테러 라이브,8.28,"스릴러, 드라마",5584295,스릴러
더 폰,8.05,"액션, 스릴러",1596762,스릴러
덕혜옹주,8.72,"서사, 드라마",5599995,서사
도가니,9.27,드라마,4662926,드라마
도리화가,7.29,드라마,317505,드라마
도마 안중근,4.14,드라마,20318,드라마
도둑들,7.62,"범죄, 액션, 드라마",12984692,범죄
도레미파솔라시도,6.64,드라마,197672,드라마
도마뱀,7.08,"멜로/로맨스, 드라마",364848,멜로/로맨스
도희야,7.27,드라마,106781,드라마
독전,8.41,"범죄, 액션",5201715,범죄
돈을 갖고 튀어라,7.56,"코미디, 멜로/로맨스","167,108",로맨틱코미디
돈 크라이 마미,6.44,"스릴러, 드라마",975462,스릴러
돈의 맛,6.79,드라마,1166025,드라마
돌아와요 부산항애,6.11,"범죄, 액션, 드라마",6954,범죄
돌려차기,7.23,"코미디, 액션",41401,코미디
돌멩이의 꿈,7.05,드라마,515,드라마
돌연변이,7.43,"드라마, 코미디",100543,코미디
동감,9,"멜로/로맨스, 판타지","346,279",멜로/로맨스
동갑내기 과외하기,7.82,코미디,"4,937,573",코미디
동갑내기 과외하기2,6.44,코미디,514669,코미디
동네사람들,7.13,"액션, 스릴러",461693,스릴러
동주,9.18,드라마,1176468,드라마
동창생,7.31,"액션, 드라마",1048280,액션
된장,7.38,미스터리,45180,미스터리
두근두근 내 인생,7.51,드라마,1624573,드라마
두만강,7.87,"드라마, 전쟁",2542,전쟁
두사부일체,7.44,"코미디, 액션","1,228,142",코미디
디 워,7.54,"판타지, 액션",7855474,판타지
또 하나의 약속,9.25,드라마,497994,드라마
똥개,7.81,드라마,"1,394,000",드라마
똥파리,9,드라마,123029,드라마
뚫어야 산다,2.96,"범죄, 코미디, 액션","20,283",범죄
라디오 스타,9.2,"코미디, 드라마",1590774,코미디
라라,8,"멜로/로맨스, 드라마",1860,멜로/로맨스
라스트 갓파더,6.24,코미디,2541603,코미디
라이터를 켜라,7.66,코미디,"470,557",코미디
럭키,8.76,코미디,6975631,코미디
런닝맨,7.77,"액션, 코미디",1422844,액션
