team,cp1,cp2,cp3,cp4,cp5,pl1,pl2,pl3,pl4,pl5,score,date,stage,title
진에어 그린윙스,오른,자르반 4세,조이,케이틀린,탐 켄치,Jin Air SoHwan,Jin Air UmTi,Jin Air Grace,Jin Air Teddy,Jin Air Wraith,0,2018.02.10,2018 LCK 스프링 정규 시즌,19일차 1경기 1세트
킹존 드래곤X,나르,잭스,라이즈,이즈리얼,브라움,KZ Khan,KZ Peanut,KZ BDD,KZ PraY,KZ GorillA,1,2018.02.10,2018 LCK 스프링 정규 시즌,19일차 1경기 1세트
진에어 그린윙스,나르,자르반 4세,아지르,이즈리얼,탐 켄치,Jin Air SoHwan,Jin Air UmTi,Jin Air Justice,Jin Air Teddy,Jin Air Wraith,0,2018.02.10,2018 LCK 스프링 정규 시즌,19일차 1경기 2세트
킹존 드래곤X,갱플랭크,카직스,라이즈,자야,라칸,KZ Khan,KZ Peanut,KZ BDD,KZ PraY,KZ GorillA,1,2018.02.10,2018 LCK 스프링 정규 시즌,19일차 1경기 2세트
MVP,초가스,세주아니,아지르,이즈리얼,타릭,MVP ADD,MVP Beyond,MVP Ian,MVP Pilot,MVP Max,1,2018.02.10,2018 LCK 스프링 정규 시즌,19일차 2경기 1세트
bbq olivers,블라디미르,잭스,갈리오,칼리스타,라칸,bbq Crazy,bbq Bono,bbq Tempt,bbq Ghost,bbq IgNar,0,2018.02.10,2018 LCK 스프링 정규 시즌,19일차 2경기 1세트
MVP,초가스,자크,조이,이즈리얼,잔나,MVP ADD,MVP Beyond,MVP Ian,MVP Pilot,MVP Max,1,2018.02.10,2018 LCK 스프링 정규 시즌,19일차 2경기 2세트
bbq olivers,오른,카직스,갈리오,케이틀린,탐 켄치,bbq Crazy,bbq Bono,bbq Tempt,bbq Ghost,bbq IgNar,0,2018.02.10,2018 LCK 스프링 정규 시즌,19일차 2경기 2세트
KSV,오른,카밀,카시오페아,이즈리얼,브라움,KSV CuVee,KSV Haru,KSV Crown,KSV Ruler,KSV CoreJJ,0,2018.02.11,2018 LCK 스프링 정규 시즌,20일차 1경기 1세트
SKT T1,블라디미르,자르반 4세,갈리오,바루스,타릭,SKT T1 Thal,SKT T1 Blossom,SKT T1 Faker,SKT T1 Bang,SKT T1 Wolf,1,2018.02.11,2018 LCK 스프링 정규 시즌,20일차 1경기 1세트
KSV,오른,자르반 4세,조이,트리스타나,쉔,KSV CuVee,KSV Ambition,KSV Crown,KSV Ruler,KSV CoreJJ,0,2018.02.11,2018 LCK 스프링 정규 시즌,20일차 1경기 2세트
SKT T1,트런들,세주아니,카사딘,이즈리얼,타릭,SKT T1 Thal,SKT T1 Blossom,SKT T1 Faker,SKT T1 Bang,SKT T1 Wolf,1,2018.02.11,2018 LCK 스프링 정규 시즌,20일차 1경기 2세트
kt 롤스터,블라디미르,세주아니,탈리야,바루스,타릭,KT Smeb,KT Score,KT Pawn,KT Deft,KT Mata,1,2018.02.11,2018 LCK 스프링 정규 시즌,20일차 2경기 1세트
콩두 몬스터,나르,자르반 4세,말자하,이즈리얼,탐 켄치,KDM Roach,KDM Raise,KDM Edge,KDM SSol,KDM Secret,0,2018.02.11,2018 LCK 스프링 정규 시즌,20일차 2경기 1세트
kt 롤스터,카밀,자크,라이즈,케이틀린,브라움,KT Smeb,KT Score,KT Pawn,KT Deft,KT Mata,1,2018.02.11,2018 LCK 스프링 정규 시즌,20일차 2경기 2세트
콩두 몬스터,나르,카직스,탈리야,코그모,탐 켄치,KDM Roach,KDM U Jun,KDM Edge,KDM SSol,KDM Secret,0,2018.02.11,2018 LCK 스프링 정규 시즌,20일차 2경기 2세트
SKT T1,사이온,자크,갈리오,이즈리얼,브라움,SKT T1 Thal,SKT T1 Blossom,SKT T1 Faker,SKT T1 Bang,SKT T1 Wolf,1,2018.02.20,2018 LCK 스프링 정규 시즌,21일차 1경기 1세트
콩두 몬스터,오른,세주아니,루시안,바루스,타릭,KDM Roach,KDM U Jun,KDM Edge,KDM SSol,KDM Secret,0,2018.02.20,2018 LCK 스프링 정규 시즌,21일차 1경기 1세트
SKT T1,사이온,자르반 4세,라이즈,바루스,알리스타,SKT T1 Thal,SKT T1 Blossom,SKT T1 Faker,SKT T1 Bang,SKT T1 Wolf,0,2018.02.20,2018 LCK 스프링 정규 시즌,21일차 1경기 2세트
콩두 몬스터,초가스,카밀,조이,칼리스타,쉔,KDM Roach,KDM Raise,KDM Edge,KDM SSol,KDM Secret,1,2018.02.20,2018 LCK 스프링 정규 시즌,21일차 1경기 2세트
SKT T1,갱플랭크,자르반 4세,조이,자야,라칸,SKT T1 Thal,SKT T1 Blossom,SKT T1 Faker,SKT T1 Bang,SKT T1 Wolf,1,2018.02.20,2018 LCK 스프링 정규 시즌,21일차 1경기 3세트
콩두 몬스터,블라디미르,카밀,탈리야,바루스,탐 켄치,KDM Roach,KDM Raise,KDM Edge,KDM SSol,KDM Secret,0,2018.02.20,2018 LCK 스프링 정규 시즌,21일차 1경기 3세트
KSV,카밀,자크,조이,바루스,타릭,KSV CuVee,KSV Haru,KSV Crown,KSV Ruler,KSV CoreJJ,0,2018.02.20,2018 LCK 스프링 정규 시즌,21일차 2경기 1세트
kt 롤스터,나르,카직스,말자하,케이틀린,브라움,KT Smeb,KT Score,KT Pawn,KT Deft,KT Mata,1,2018.02.20,2018 LCK 스프링 정규 시즌,21일차 2경기 1세트
KSV,초가스,세주아니,조이,트리스타나,잔나,KSV CuVee,KSV Ambition,KSV Crown,KSV Ruler,KSV CoreJJ,0,2018.02.20,2018 LCK 스프링 정규 시즌,21일차 2경기 2세트
kt 롤스터,사이온,카직스,라이즈,케이틀린,브라움,KT Smeb,KT Score,KT Pawn,KT Deft,KT Mata,1,2018.02.20,2018 LCK 스프링 정규 시즌,21일차 2경기 2세트
아프리카 프릭스,사이온,니달리,조이,바루스,탐 켄치,Afreeca Kiin,Afreeca Spirit,Afreeca kuro,Afreeca Kramer,Afreeca TusiN,0,2018.02.21,2018 LCK 스프링 정규 시즌,22일차 1경기 1세트
진에어 그린윙스,나르,스카너,탈리야,칼리스타,브라움,Jin Air SoHwan,Jin Air UmTi,Jin Air Grace,Jin Air Teddy,Jin Air Wraith,1,2018.02.21,2018 LCK 스프링 정규 시즌,22일차 1경기 1세트
아프리카 프릭스,나르,뽀삐,코르키,이즈리얼,오른,Afreeca Kiin,Afreeca Spirit,Afreeca kuro,Afreeca Kramer,Afreeca TusiN,0,2018.02.21,2018 LCK 스프링 정규 시즌,22일차 1경기 2세트
진에어 그린윙스,블라디미르,카밀,갈리오,바루스,탐 켄치,Jin Air SoHwan,Jin Air UmTi,Jin Air Grace,Jin Air Teddy,Jin Air Wraith,1,2018.02.21,2018 LCK 스프링 정규 시즌,22일차 1경기 2세트
MVP,초가스,자크,아지르,이즈리얼,라칸,MVP ADD,MVP Beyond,MVP Ian,MVP MaHa,MVP Max,0,2018.02.21,2018 LCK 스프링 정규 시즌,22일차 2경기 1세트
ROX 타이거즈,갱플랭크,세주아니,에코,자야,쓰레쉬,ROX Lindarang,ROX SeongHwan,ROX Lava,ROX Sangyoon,ROX Key,1,2018.02.21,2018 LCK 스프링 정규 시즌,22일차 2경기 1세트
MVP,갱플랭크,카직스,아지르,바루스,브라움,MVP ADD,MVP Beyond,MVP Ian,MVP MaHa,MVP Max,0,2018.02.21,2018 LCK 스프링 정규 시즌,22일차 2경기 2세트
ROX 타이거즈,나르,니달리,조이,자야,라칸,ROX Lindarang,ROX SeongHwan,ROX Lava,ROX Sangyoon,ROX Key,1,2018.02.21,2018 LCK 스프링 정규 시즌,22일차 2경기 2세트
bbq olivers,오른,스카너,조이,칼리스타,쓰레쉬,bbq Crazy,bbq Trick,bbq Tempt,bbq Ghost,bbq IgNar,1,2018.02.22,2018 LCK 스프링 정규 시즌,23일차 1경기 1세트
킹존 드래곤X,갱플랭크,세주아니,아지르,이즈리얼,타릭,KZ Khan,KZ Peanut,KZ BDD,KZ PraY,KZ GorillA,0,2018.02.22,2018 LCK 스프링 정규 시즌,23일차 1경기 1세트
bbq olivers,카사딘,세주아니,코르키,케이틀린,바드,bbq Crazy,bbq Trick,bbq Tempt,bbq Ghost,bbq IgNar,0,2018.02.22,2018 LCK 스프링 정규 시즌,23일차 1경기 2세트
킹존 드래곤X,블라디미르,자르반 4세,아지르,이즈리얼,탐 켄치,KZ Rascal,KZ Peanut,KZ BDD,KZ PraY,KZ GorillA,1,2018.02.22,2018 LCK 스프링 정규 시즌,23일차 1경기 2세트
bbq olivers,나르,세주아니,코르키,칼리스타,라칸,bbq Crazy,bbq Trick,bbq Tempt,bbq Ghost,bbq IgNar,1,2018.02.22,2018 LCK 스프링 정규 시즌,23일차 1경기 3세트
킹존 드래곤X,오른,카직스,오리아나,이즈리얼,탐 켄치,KZ Rascal,KZ Peanut,KZ BDD,KZ PraY,KZ GorillA,0,2018.02.22,2018 LCK 스프링 정규 시즌,23일차 1경기 3세트
KSV,나르,카밀,아지르,바루스,브라움,KSV CuVee,KSV Haru,KSV Crown,KSV Ruler,KSV CoreJJ,1,2018.02.22,2018 LCK 스프링 정규 시즌,23일차 2경기 1세트
콩두 몬스터,사이온,세주아니,라이즈,이즈리얼,탐 켄치,KDM Roach,KDM Raise,KDM Edge,KDM SSol,KDM Secret,0,2018.02.22,2018 LCK 스프링 정규 시즌,23일차 2경기 1세트
KSV,나르,세주아니,아지르,바루스,타릭,KSV CuVee,KSV Ambition,KSV Crown,KSV Ruler,KSV CoreJJ,1,2018.02.22,2018 LCK 스프링 정규 시즌,23일차 2경기 2세트
콩두 몬스터,오른,스카너,빅토르,칼리스타,탐 켄치,KDM Roach,KDM Raise,KDM Edge,KDM SSol,KDM Secret,0,2018.02.22,2018 LCK 스프링 정규 시즌,23일차 2경기 2세트
ROX 타이거즈,카밀,세주아니,코르키,자야,라칸,ROX Lindarang,ROX SeongHwan,ROX Lava,ROX Sangyoon,ROX Key,0,2018.02.24,2018 LCK 스프링 정규 시즌,24일차 1경기 1세트
SKT T1,잭스,스카너,아지르,칼리스타,알리스타,SKT T1 Untara,SKT T1 Blossom,SKT T1 Faker,SKT T1 Bang,SKT T1 Wolf,1,2018.02.24,2018 LCK 스프링 정규 시즌,24일차 1경기 1세트
ROX 타이거즈,카밀,세주아니,카르마,케이틀린,쓰레쉬,ROX Lindarang,ROX Mightybear,ROX Kuzan,ROX Sangyoon,ROX Key,0,2018.02.24,2018 LCK 스프링 정규 시즌,24일차 1경기 2세트
SKT T1,나르,자크,아지르,이즈리얼,타릭,SKT T1 Untara,SKT T1 Blossom,SKT T1 Faker,SKT T1 Bang,SKT T1 Wolf,1,2018.02.24,2018 LCK 스프링 정규 시즌,24일차 1경기 2세트
아프리카 프릭스,오른,스카너,신드라,바루스,브라움,Afreeca Kiin,Afreeca Spirit,Afreeca kuro,Afreeca Kramer,Afreeca TusiN,1,2018.02.24,2018 LCK 스프링 정규 시즌,24일차 2경기 1세트
킹존 드래곤X,사이온,잭스,라이즈,이즈리얼,타릭,KZ Khan,KZ Peanut,KZ BDD,KZ PraY,KZ GorillA,0,2018.02.24,2018 LCK 스프링 정규 시즌,24일차 2경기 1세트
아프리카 프릭스,나르,카밀,갈리오,이즈리얼,쉔,Afreeca Kiin,Afreeca Spirit,Afreeca kuro,Afreeca Kramer,Afreeca TusiN,0,2018.02.24,2018 LCK 스프링 정규 시즌,24일차 2경기 2세트
킹존 드래곤X,갱플랭크,세주아니,탈리야,칼리스타,브라움,KZ Khan,KZ Cuzz,KZ BDD,KZ PraY,KZ GorillA,1,2018.02.24,2018 LCK 스프링 정규 시즌,24일차 2경기 2세트
아프리카 프릭스,사이온,자르반 4세,코르키,바루스,알리스타,Afreeca Kiin,Afreeca Spirit,Afreeca kuro,Afreeca Kramer,Afreeca TusiN,0,2018.02.24,2018 LCK 스프링 정규 시즌,24일차 2경기 3세트
킹존 드래곤X,제이스,잭스,탈리야,칼리스타,탐 켄치,KZ Khan,KZ Cuzz,KZ BDD,KZ PraY,KZ GorillA,1,2018.02.24,2018 LCK 스프링 정규 시즌,24일차 2경기 3세트
kt 롤스터,나르,자르반 4세,말자하,자야,라칸,KT Smeb,KT Score,KT Pawn,KT Deft,KT Mata,1,2018.02.25,2018 LCK 스프링 정규 시즌,25일차 1경기 1세트
진에어 그린윙스,루시안,스카너,조이,바루스,탐 켄치,Jin Air SoHwan,Jin Air UmTi,Jin Air Grace,Jin Air Teddy,Jin Air Wraith,0,2018.02.25,2018 LCK 스프링 정규 시즌,25일차 1경기 1세트
kt 롤스터,나르,자크,조이,이즈리얼,탐 켄치,KT Smeb,KT Score,KT Pawn,KT Deft,KT Mata,0,2018.02.25,2018 LCK 스프링 정규 시즌,25일차 1경기 2세트
진에어 그린윙스,갱플랭크,니달리,탈리야,칼리스타,타릭,Jin Air SoHwan,Jin Air UmTi,Jin Air Grace,Jin Air Teddy,Jin Air Wraith,1,2018.02.25,2018 LCK 스프링 정규 시즌,25일차 1경기 2세트
kt 롤스터,초가스,잭스,아지르,바루스,브라움,KT Smeb,KT Score,KT Pawn,KT Deft,KT Mata,1,2018.02.25,2018 LCK 스프링 정규 시즌,25일차 1경기 3세트
진에어 그린윙스,트런들,스카너,라이즈,케이틀린,타릭,Jin Air SoHwan,Jin Air UmTi,Jin Air Grace,Jin Air Teddy,Jin Air Wraith,0,2018.02.25,2018 LCK 스프링 정규 시즌,25일차 1경기 3세트
MVP,갱플랭크,자크,코르키,칼리스타,탐 켄치,MVP ADD,MVP Beyond,MVP Ian,MVP Pilot,MVP Max,1,2018.02.25,2018 LCK 스프링 정규 시즌,25일차 2경기 1세트
bbq olivers,피오라,스카너,아지르,이즈리얼,타릭,bbq Crazy,bbq Trick,bbq Tempt,bbq Ghost,bbq IgNar,0,2018.02.25,2018 LCK 스프링 정규 시즌,25일차 2경기 1세트
MVP,마오카이,세주아니,코르키,자야,라칸,MVP ADD,MVP Beyond,MVP Ian,MVP Pilot,MVP Max,1,2018.02.25,2018 LCK 스프링 정규 시즌,25일차 2경기 2세트
bbq olivers,오른,스카너,아지르,이즈리얼,브라움,bbq Crazy,bbq Trick,bbq Tempt,bbq Ghost,bbq IgNar,0,2018.02.25,2018 LCK 스프링 정규 시즌,25일차 2경기 2세트
KSV,오른,세주아니,라이즈,트리스타나,브라움,KSV CuVee,KSV Ambition,KSV Crown,KSV Ruler,KSV CoreJJ,0,2018.02.27,2018 LCK 스프링 정규 시즌,26일차 1경기 1세트
아프리카 프릭스,사이온,자르반 4세,탈리야,칼리스타,알리스타,Afreeca Kiin,Afreeca Spirit,Afreeca kuro,Afreeca Aiming,Afreeca TusiN,1,2018.02.27,2018 LCK 스프링 정규 시즌,26일차 1경기 1세트
KSV,케넨,스카너,조이,트리스타나,타릭,KSV CuVee,KSV Ambition,KSV Crown,KSV Ruler,KSV CoreJJ,0,2018.02.27,2018 LCK 스프링 정규 시즌,26일차 1경기 2세트
아프리카 프릭스,라이즈,세주아니,말자하,칼리스타,브라움,Afreeca Kiin,Afreeca Spirit,Afreeca kuro,Afreeca Aiming,Afreeca TusiN,1,2018.02.27,2018 LCK 스프링 정규 시즌,26일차 1경기 2세트
ROX 타이거즈,케넨,자르반 4세,조이,바루스,탐 켄치,ROX Lindarang,ROX SeongHwan,ROX Lava,ROX Sangyoon,ROX Key,1,2018.02.27,2018 LCK 스프링 정규 시즌,26일차 2경기 1세트
kt 롤스터,나르,세주아니,아지르,케이틀린,브라움,KT Smeb,KT Score,KT Pawn,KT Deft,KT Mata,0,2018.02.27,2018 LCK 스프링 정규 시즌,26일차 2경기 1세트
ROX 타이거즈,사이온,세주아니,탈리야,트리스타나,쓰레쉬,ROX Lindarang,ROX SeongHwan,ROX Lava,ROX Sangyoon,ROX Key,1,2018.02.27,2018 LCK 스프링 정규 시즌,26일차 2경기 2세트
kt 롤스터,초가스,자르반 4세,아지르,이즈리얼,쉔,KT Smeb,KT Score,KT Pawn,KT Deft,KT Mata,0,2018.02.27,2018 LCK 스프링 정규 시즌,26일차 2경기 2세트
bbq olivers,오른,자르반 4세,조이,바루스,레오나,bbq Crazy,bbq Trick,bbq Tempt,bbq Ghost,bbq IgNar,1,2018.02.28,2018 LCK 스프링 정규 시즌,27일차 1경기 1세트
진에어 그린윙스,사이온,카직스,탈리야,자야,라칸,Jin Air SoHwan,Jin Air UmTi,Jin Air Grace,Jin Air Teddy,Jin Air Wraith,0,2018.02.28,2018 LCK 스프링 정규 시즌,27일차 1경기 1세트
bbq olivers,오른,자크,신드라,자야,라칸,bbq Crazy,bbq Trick,bbq Tempt,bbq Ghost,bbq IgNar,1,2018.02.28,2018 LCK 스프링 정규 시즌,27일차 1경기 2세트
진에어 그린윙스,일라오이,세주아니,탈리야,케이틀린,브라움,Jin Air SoHwan,Jin Air UmTi,Jin Air Grace,Jin Air Teddy,Jin Air Wraith,0,2018.02.28,2018 LCK 스프링 정규 시즌,27일차 1경기 2세트
MVP,뽀삐,자크,코르키,자야,라칸,MVP ADD,MVP Beyond,MVP Ian,MVP Pilot,MVP Max,0,2018.02.28,2018 LCK 스프링 정규 시즌,27일차 2경기 1세트
킹존 드래곤X,카밀,세주아니,갈리오,이즈리얼,레오나,KZ Khan,KZ Peanut,KZ BDD,KZ PraY,KZ GorillA,1,2018.02.28,2018 LCK 스프링 정규 시즌,27일차 2경기 1세트
MVP,갱플랭크,잭스,조이,이즈리얼,알리스타,MVP ADD,MVP Beyond,MVP Ian,MVP Pilot,MVP Max,0,2018.02.28,2018 LCK 스프링 정규 시즌,27일차 2경기 2세트
킹존 드래곤X,제이스,스카너,에코,바루스,탐 켄치,KZ Khan,KZ Peanut,KZ BDD,KZ PraY,KZ GorillA,1,2018.02.28,2018 LCK 스프링 정규 시즌,27일차 2경기 2세트
SKT T1,초가스,스카너,코르키,칼리스타,탐 켄치,SKT T1 Untara,SKT T1 Blossom,SKT T1 Faker,SKT T1 Bang,SKT T1 Wolf,0,2018.03.01,2018 LCK 스프링 정규 시즌,28일차 1경기 1세트
아프리카 프릭스,사이온,자크,갈리오,자야,라칸,Afreeca Kiin,Afreeca Mowgli,Afreeca kuro,Afreeca Aiming,Afreeca TusiN,1,2018.03.01,2018 LCK 스프링 정규 시즌,28일차 1경기 1세트
SKT T1,트런들,자르반 4세,갈리오,바루스,알리스타,SKT T1 Untara,SKT T1 Blossom,SKT T1 Faker,SKT T1 Bang,SKT T1 Wolf,1,2018.03.01,2018 LCK 스프링 정규 시즌,28일차 1경기 2세트
아프리카 프릭스,사이온,세주아니,코르키,칼리스타,브라움,Afreeca Kiin,Afreeca Mowgli,Afreeca kuro,Afreeca Aiming,Afreeca TusiN,0,2018.03.01,2018 LCK 스프링 정규 시즌,28일차 1경기 2세트
SKT T1,트런들,스카너,에코,트리스타나,알리스타,SKT T1 Untara,SKT T1 Blossom,SKT T1 Faker,SKT T1 Bang,SKT T1 Wolf,0,2018.03.01,2018 LCK 스프링 정규 시즌,28일차 1경기 3세트
아프리카 프릭스,사이온,세주아니,탈리야,칼리스타,라칸,Afreeca Kiin,Afreeca Spirit,Afreeca kuro,Afreeca Kramer,Afreeca TusiN,1,2018.03.01,2018 LCK 스프링 정규 시즌,28일차 1경기 3세트
kt 롤스터,카밀,세주아니,아지르,이즈리얼,탐 켄치,KT Smeb,KT Score,kt Ucal,KT Deft,KT Mata,1,2018.03.01,2018 LCK 스프링 정규 시즌,28일차 2경기 1세트
콩두 몬스터,쉔,자크,탈리야,자야,라칸,KDM Roach,KDM Raise,KDM Edge,KDM SSol,KDM Secret,0,2018.03.01,2018 LCK 스프링 정규 시즌,28일차 2경기 1세트
kt 롤스터,나르,스카너,아지르,바루스,쓰레쉬,KT Smeb,KT Score,KT Ucal,KT Deft,KT Mata,1,2018.03.01,2018 LCK 스프링 정규 시즌,28일차 2경기 2세트
콩두 몬스터,오른,세주아니,탈리야,칼리스타,쉔,KDM Roach,KDM Raise,KDM Edge,KDM SSol,KDM Secret,0,2018.03.01,2018 LCK 스프링 정규 시즌,28일차 2경기 2세트
콩두 몬스터,사이온,스카너,라이즈,바루스,쓰레쉬,KDM Roach,KDM Raise,KDM Edge,KDM SSol,KDM Secret,0,2018.03.03,2018 LCK 스프링 정규 시즌,29일차 1경기 1세트
킹존 드래곤X,카밀,올라프,아지르,이즈리얼,알리스타,KZ Rascal,KZ Peanut,KZ BDD,KZ PraY,KZ GorillA,1,2018.03.03,2018 LCK 스프링 정규 시즌,29일차 1경기 1세트
콩두 몬스터,사이온,세주아니,카시오페아,케이틀린,탐 켄치,KDM Roach,KDM U Jun,KDM Edge,KDM SSol,KDM Secret,0,2018.03.03,2018 LCK 스프링 정규 시즌,29일차 1경기 2세트
킹존 드래곤X,나르,잭스,라이즈,자야,라칸,KZ Khan,KZ Cuzz,KZ BDD,KZ PraY,KZ GorillA,1,2018.03.03,2018 LCK 스프링 정규 시즌,29일차 1경기 2세트
ROX 타이거즈,사이온,올라프,조이,트리스타나,탐 켄치,ROX Lindarang,ROX SeongHwan,ROX Lava,ROX Sangyoon,ROX Key,1,2018.03.03,2018 LCK 스프링 정규 시즌,29일차 2경기 1세트
bbq olivers,트런들,자르반 4세,말자하,바루스,알리스타,bbq Crazy,bbq Trick,bbq Tempt,bbq Ghost,bbq IgNar,0,2018.03.03,2018 LCK 스프링 정규 시즌,29일차 2경기 1세트
ROX 타이거즈,일라오이,세주아니,아지르,칼리스타,라칸,ROX Lindarang,ROX SeongHwan,ROX Lava,ROX Sangyoon,ROX Key,1,2018.03.03,2018 LCK 스프링 정규 시즌,29일차 2경기 2세트
bbq olivers,오른,스카너,코르키,바루스,레오나,bbq Crazy,bbq Trick,bbq Tempt,bbq Ghost,bbq IgNar,0,2018.03.03,2018 LCK 스프링 정규 시즌,29일차 2경기 2세트
SKT T1,트런들,자르반 4세,라이즈,바루스,알리스타,SKT T1 Untara,SKT T1 Blossom,SKT T1 Faker,SKT T1 Bang,SKT T1 Wolf,1,2018.03.04,2018 LCK 스프링 정규 시즌,30일차 1경기 1세트
진에어 그린윙스,사이온,세주아니,오리아나,트리스타나,브라움,Jin Air SoHwan,Jin Air UmTi,Jin Air Justice,Jin Air Teddy,Jin Air Wraith,0,2018.03.04,2018 LCK 스프링 정규 시즌,30일차 1경기 1세트
SKT T1,나르,잭스,조이,이즈리얼,레오나,SKT T1 Untara,SKT T1 Blossom,SKT T1 Faker,SKT T1 Bang,SKT T1 Wolf,0,2018.03.04,2018 LCK 스프링 정규 시즌,30일차 1경기 2세트
진에어 그린윙스,오른,카직스,라이즈,자야,라칸,Jin Air SoHwan,Jin Air UmTi,Jin Air Justice,Jin Air Teddy,Jin Air Wraith,1,2018.03.04,2018 LCK 스프링 정규 시즌,30일차 1경기 2세트
SKT T1,사이온,자크,조이,바루스,레오나,SKT T1 Untara,SKT T1 Blossom,SKT T1 Faker,SKT T1 Bang,SKT T1 Wolf,1,2018.03.04,2018 LCK 스프링 정규 시즌,30일차 1경기 3세트
진에어 그린윙스,오른,세주아니,말자하,자야,라칸,Jin Air SoHwan,Jin Air UmTi,Jin Air Justice,Jin Air Teddy,Jin Air Wraith,0,2018.03.04,2018 LCK 스프링 정규 시즌,30일차 1경기 3세트
KSV,오른,세주아니,갈리오,자야,라칸,KSV CuVee,KSV Ambition,KSV Crown,KSV Ruler,KSV CoreJJ,0,2018.03.04,2018 LCK 스프링 정규 시즌,30일차 2경기 1세트
MVP,스웨인,스카너,코르키,케이틀린,레오나,MVP ADD,MVP Beyond,MVP Ian,MVP Pilot,MVP Max,1,2018.03.04,2018 LCK 스프링 정규 시즌,30일차 2경기 1세트
KSV,카밀,세주아니,아지르,이즈리얼,브라움,KSV CuVee,KSV Haru,KSV Crown,KSV Ruler,KSV CoreJJ,1,2018.03.04,2018 LCK 스프링 정규 시즌,30일차 2경기 2세트
MVP,사이온,스카너,탈리야,케이틀린,탐 켄치,MVP ADD,MVP Beyond,MVP Ian,MVP Pilot,MVP Max,0,2018.03.04,2018 LCK 스프링 정규 시즌,30일차 2경기 2세트
KSV,초가스,카밀,갈리오,이즈리얼,잔나,KSV CuVee,KSV Haru,KSV Crown,KSV Ruler,KSV CoreJJ,0,2018.03.04,2018 LCK 스프링 정규 시즌,30일차 2경기 3세트
MVP,오른,스카너,아지르,케이틀린,탐 켄치,MVP ADD,MVP Beyond,MVP Ian,MVP Pilot,MVP Max,1,2018.03.04,2018 LCK 스프링 정규 시즌,30일차 2경기 3세트
SKT T1,트런들,자르반 4세,라이즈,바루스,타릭,SKT T1 Untara,SKT T1 Blossom,SKT T1 Faker,SKT T1 Bang,SKT T1 Wolf,0,2018.03.06,2018 LCK 스프링 정규 시즌,31일차 1경기 1세트
킹존 드래곤X,제이스,세주아니,사이온,코그모,쓰레쉬,KZ Khan,KZ Peanut,KZ BDD,KZ PraY,KZ GorillA,1,2018.03.06,2018 LCK 스프링 정규 시즌,31일차 1경기 1세트
SKT T1,초가스,카밀,갱플랭크,이즈리얼,레오나,SKT T1 Untara,SKT T1 Blossom,SKT T1 Faker,SKT T1 Bang,SKT T1 Wolf,0,2018.03.06,2018 LCK 스프링 정규 시즌,31일차 1경기 2세트
킹존 드래곤X,사이온,올라프,갈리오,자야,라칸,KZ Khan,KZ Peanut,KZ BDD,KZ PraY,KZ GorillA,1,2018.03.06,2018 LCK 스프링 정규 시즌,31일차 1경기 2세트
MVP,오른,세주아니,코르키,트리스타나,브라움,MVP ADD,MVP Beyond,MVP Ian,MVP Pilot,MVP Max,1,2018.03.06,2018 LCK 스프링 정규 시즌,31일차 2경기 1세트
ROX 타이거즈,블라디미르,올라프,갈리오,칼리스타,쓰레쉬,ROX Lindarang,ROX SeongHwan,ROX Lava,ROX Sangyoon,ROX Key,0,2018.03.06,2018 LCK 스프링 정규 시즌,31일차 2경기 1세트
MVP,오른,세주아니,라이즈,이즈리얼,타릭,MVP ADD,MVP Beyond,MVP Ian,MVP Pilot,MVP Max,1,2018.03.06,2018 LCK 스프링 정규 시즌,31일차 2경기 2세트
ROX 타이거즈,블라디미르,올라프,아지르,트리스타나,브라움,ROX Lindarang,ROX SeongHwan,ROX Lava,ROX Sangyoon,ROX Key,0,2018.03.06,2018 LCK 스프링 정규 시즌,31일차 2경기 2세트
진에어 그린윙스,초가스,올라프,아지르,케이틀린,타릭,Jin Air SoHwan,Jin Air UmTi,Jin Air Grace,Jin Air Teddy,Jin Air Wraith,1,2018.03.07,2018 LCK 스프링 정규 시즌,32일차 1경기 1세트
콩두 몬스터,카밀,자르반 4세,사이온,이즈리얼,탐 켄치,KDM Roach,KDM Raise,KDM Edge,KDM SSol,KDM Secret,0,2018.03.07,2018 LCK 스프링 정규 시즌,32일차 1경기 1세트
진에어 그린윙스,오른,스카너,라이즈,트리스타나,레오나,Jin Air SoHwan,Jin Air UmTi,Jin Air Grace,Jin Air Teddy,Jin Air Wraith,1,2018.03.07,2018 LCK 스프링 정규 시즌,32일차 1경기 2세트
콩두 몬스터,나르,세주아니,사이온,자야,라칸,KDM Roach,KDM U Jun,KDM Edge,KDM SSol,KDM Secret,0,2018.03.07,2018 LCK 스프링 정규 시즌,32일차 1경기 2세트
KSV,카밀,세주아니,벨코즈,트리스타나,브라움,KSV CuVee,KSV Ambition,KSV Crown,KSV Ruler,KSV CoreJJ,1,2018.03.07,2018 LCK 스프링 정규 시즌,32일차 2경기 1세트
bbq olivers,오른,카직스,갈리오,칼리스타,레오나,bbq Crazy,bbq Trick,bbq Tempt,bbq Ghost,bbq IgNar,0,2018.03.07,2018 LCK 스프링 정규 시즌,32일차 2경기 1세트
KSV,카밀,자크,벨코즈,트리스타나,브라움,KSV CuVee,KSV Ambition,KSV Crown,KSV Ruler,KSV CoreJJ,1,2018.03.07,2018 LCK 스프링 정규 시즌,32일차 2경기 2세트
