"2019 LoL 월드 챔피언십 8강전 1일차 : SKT vs. SPY l DWG vs. G2',","500273976',",,2019년 10월 27일,
"2019 LoL 월드 챔피언십 8강전 1일차 : GRF vs. IG l FPX vs. FNC',","499774308',",,2019년 10월 26일,
"2019 LoL 월드 챔피언십 그룹 스테이지 8일차',","497139239',",,2019년 10월 20일,
"2019 LoL 월드 챔피언십 그룹 스테이지 7일차',","496665959',",,2019년 10월 19일,
"2019 LoL 월드 챔피언십 그룹 스테이지 6일차',","496217166',",,2019년 10월 18일,
"2019 LoL 월드 챔피언십 그룹 스테이지 5일차',","495788829',",,2019년 10월 17일,
"2019 LoL 월드 챔피언십 그룹 스테이지 4일차',","494894969',",,2019년 10월 15일,
"2019 LoL 월드 챔피언십 그룹 스테이지 3일차',","494460837',",,2019년 10월 14일,
"2019 LoL 월드 챔피언십 그룹 스테이지 2일차',","493980365',",,2019년 10월 13일,
"2019 LoL 월드 챔피언십 그룹 스테이지 1일차',","493516874',",,2019년 10월 12일,
"2019 LoL 월드 챔피언십 플레이-인 넉아웃 스테이지 2일차 :  HKA vs. ISG l SPY vs. UOL',","491789589',",,2019년 10월 8일,
"2019 LoL 월드 챔피언십 플레이-인 넉아웃 스테이지 1일차 :  DWG vs. LK l CG vs. RYL',","491381691',",,2019년 10월 7일,
"2019 LoL 월드 챔피언십 플레이-인 그룹 스테이지 4일차',","490466710',",,2019년 10월 5일,
"2019 LoL 월드 챔피언십 플레이-인 그룹 스테이지 3일차',","490013076',",,2019년 10월 4일,
"2019 LoL 월드 챔피언십 플레이-인 그룹 스테이지 2일차',","489606327',",,2019년 10월 3일,
"2019 LoL 월드 챔피언십 플레이-인 그룹 스테이지 1일차',","489177739',",,2019년 10월 2일,
"2019 LoL 월드 챔피언십 조추첨식',","485370533',",,2019년 9월 23일,
"[2020 LCK 스프링 승강전] JAG vs. HLE',","479878155',",,2019년 9월 11일,
"[2020 LCK 스프링 승강전] APK vs. JAG | HLE vs. DYN',","479398902',",,2019년 9월 10일,
"[2020 LCK 스프링 승강전] HLE vs. APK | JAG vs. DYN',","478993149',",,2019년 9월 9일,
"[2019 LoL 월드챔피언십 한국대표팀 선발전] Finals | DWG vs. KZ',","478050369',",,2019년 9월 7일,
"[2019 LoL 월드챔피언십 한국대표팀 선발전] Round 2 | SB vs. KZ',","477079156',",,2019년 9월 5일,
"[2019 LoL 월드챔피언십 한국대표팀 선발전] Round 1 | KZ vs. AF',","476191765',",,2019년 9월 3일,
"[2019 우리은행 LCK Summer] Playoffs Finals | GRF vs. SKT',","474778032',",,2019년 8월 31일,
"[2019 우리은행 LCK Summer] Playoffs Semifinals | DWG vs. SKT',","472048532',",,2019년 8월 25일,
"[2019 우리은행 LCK Summer] Playoffs Round 1 | SB vs. SKT',","471104863',",,2019년 8월 23일,
"[2019 우리은행 LCK Summer] Wild Card | SKT vs. AF',","470191566',",,2019년 8월 21일,
"[2019 우리은행 LCK Summer] DWG vs. GEN - HLE vs. GRF',","468834414',",,2019년 8월 18일,
"[2019 우리은행 LCK Summer] KZ vs. KT - SB vs. SKT',","468372151',",,2019년 8월 17일,
"[2019 우리은행 LCK Summer] GRF vs. JAG - AF vs. HLE',","467913522',",,2019년 8월 16일,
"[2019 우리은행 LCK Summer] SKT vs. DWG - KT vs. SB',","467460915',",,2019년 8월 15일,
"[2019 우리은행 LCK Summer] GRF vs. KZ - GEN vs. AF',","465615058',",,2019년 8월 11일,
"[2019 우리은행 LCK Summer] HLE vs. SKT - KT vs. JAG',","465134639',",,2019년 8월 10일,
"[2019 우리은행 LCK Summer] AF vs. SB - GEN vs. GRF',","464664304',",,2019년 8월 9일,
"[2019 우리은행 LCK Summer] JAG vs. KZ - DWG vs. KT',","464192580',",,2019년 8월 8일,
"[2019 우리은행 LCK Summer] HLE vs. DWG - KZ vs. SB',","462334451',",,2019년 8월 4일,
"[2019 우리은행 LCK Summer] JAG vs. GEN - SKT vs. AF',","461870047',",,2019년 8월 3일,
"[2019 우리은행 LCK Summer] KT vs. HLE - SB vs. GRF',","461400197',",,2019년 8월 2일,
